SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
300154,Adidas 3 Stripe Basic Polo,Bring sport-inspired style to your golf game. Every drive comes alive when you feel good. The adidas 3-Stripes Basic Polo Shirt offers lightweight comfort for clear summer days on the links.,"https://assets.adidas.com/images/w_600,f_auto,q_auto:sensitive,fl_lossy/81c505d01e65440dbb6daacd00fe5bb0_9366/3_Stripe_Basic_Polo_Shirt_Blue_FJ9843_21_model.jpg",https://websitename.com/wp-content/uploads/sites/2/2020/04/Adidas-3-Stripe-Basic-Polo-1.jpg
300156,Adidas Sport Aero Polo,,,
300157,Adidas ULT 365 Pencil Stripe Polo,,,
